time_step,Amplitude,Angular_Vel,force,mass,K,B,delta_mass,delta_K,delta_B,ideal_disp,ideal_vel,ideal_acc,actual_disp,actual_vel,actual_acc,G(x)
1.5,2,0.5,1.3632775200466682,10,2,10,1,0.1,1,0.8983145080792316,-0.07833664453450824,0.035001494923328734,0.9010290984813861,-0.07814973092810217,0.030069404858625536,0.042022583778662
1.6,2,0.5,1.4347121817990456,10,2,10,1,0.1,1,0.8906644415631741,-0.0745828759140496,0.03992120578131933,0.893372677968039,-0.0749003871924942,0.03477580156214545,0.04921268216645515
1.7000000000000002,2,0.5,1.5025608102805854,10,2,10,1,0.1,1,0.8834128344959923,-0.0703819172902943,0.043955431419154395,0.8860633325846008,-0.07122195719293409,0.038660849179563514,0.05604522524508951
1.8,2,0.5,1.5666538192549668,10,2,10,1,0.1,1,0.8766001026087803,-0.06581928275904889,0.04716464416278952,0.8791399493311519,-0.06719371795128264,0.04178098392033241,0.06250126090216496
1.9000000000000001,2,0.5,1.6268310095787475,10,2,10,1,0.1,1,0.8702583786768884,-0.060974583799221514,0.04960600902171859,0.8726337835560157,-0.06288947881807383,0.04418948464635694,0.06856338418388469
2.0,2,0.5,1.682941969615793,10,2,10,1,0.1,1,0.8644121170586965,-0.05592187136125579,0.0513336449110958,0.8665689619014175,-0.05837786221565338,0.045936693999545766,0.07421572797403414
2.1,2,0.5,1.734846451188034,10,2,10,1,0.1,1,0.8590786396175631,-0.0507299328916582,0.05239885008694896,0.8609629970288631,-0.053722594749665745,0.04707024542488585,0.07944395037810642
2.2,2,0.5,1.7824147201228708,10,2,10,1,0.1,1,0.8542686396031657,-0.04546255708330586,0.05285030117495981,0.855827259319323,-0.04898276383422584,0.04763526161170698,0.08423522370941344
2.3000000000000003,2,0.5,1.8255278805210422,10,2,10,1,0.1,1,0.8499866705361929,-0.04017878795249687,0.05273424189736251,0.8511674361693606,-0.04421306544796745,0.047674544044820605,0.08857822221378922
2.4000000000000004,2,0.5,1.8640781719344528,10,2,10,1,0.1,1,0.8462316071292583,-0.034933158299575585,0.052094654067169205,0.8469839546438349,-0.039464023687812363,0.047228738886212325,0.09246311066278345
2.5,2,0.5,1.8979692387111724,10,2,10,1,0.1,1,0.842997088811992,-0.029775910460396317,0.05097341656911514,0.8432723883565112,-0.03478219853758616,0.04633649155235877,0.09588153185042374
2.6,2,0.5,1.927116370834386,10,2,10,1,0.1,1,0.8402719366663404,-0.024753197804674804,0.04941044755484534,0.840023848009396,-0.030210382204376385,0.04503459038752677,0.09882659298409
2.7,2,0.5,1.9514467156533182,10,2,10,1,0.1,1,0.8380405528709779,-0.01990727448991032,0.04744383548104654,0.8372253398862919,-0.025787770100431887,0.04335808845425964,0.10129285234245694
2.8000000000000003,2,0.5,1.9708994599769205,10,2,10,1,0.1,1,0.8362833036686245,-0.015276674064178106,0.04510995932814528,0.8348601274242428,-0.02155013773863514,0.0413404279555452,0.10327630295933435
2.9000000000000004,2,0.5,1.985425982075177,10,2,10,1,0.1,1,0.8349768761390982,-0.010896368624971012,0.04244359160466907,0.8329080614173543,-0.017529992684030594,0.039013542965733575,0.10477435642343842
3.0,2,0.5,1.994989973208109,10,2,10,1,0.1,1,0.8340946340517822,-0.006797931481869561,0.03947800199232401,0.8313458982392409,-0.01375671970733324,0.03640795488057895,0.10578582499716979
