time_step,Amplitude,Angular_Vel,force,mass,K,B,delta_mass,delta_K,delta_B,ideal_disp,ideal_vel,ideal_acc,actual_disp,actual_vel,actual_acc,G(x)
1.3,0,0.5,0,10,2,0,0,0,0,0.8357068300843932,-0.24559888389217707,-0.16714136601687865,0.8357068300843932,-0.24559888389217707,-0.16714136601687865,0.0
1.4000000000000001,0,0.5,0,10,2,0,0,0,0,0.810319556530182,-0.26206189092945537,-0.1620639113060364,0.810319556530182,-0.26206189092945537,-0.1620639113060364,0.0
1.5,0,0.5,0,10,2,0,0,0,0,0.7833119158789363,-0.2780008618016686,-0.1566623831757873,0.7833119158789363,-0.2780008618016686,-0.1566623831757873,0.0
1.6,0,0.5,0,10,2,0,0,0,0,0.7547379109254639,-0.29338392302265276,-0.1509475821850928,0.7547379109254639,-0.29338392302265276,-0.1509475821850928,0.0
1.7000000000000002,0,0.5,0,10,2,0,0,0,0,0.7246546815643178,-0.30818031390960493,-0.14493093631286355,0.7246546815643178,-0.30818031390960493,-0.14493093631286355,0.0
1.8,0,0.5,0,10,2,0,0,0,0,0.6931223789691897,-0.32236044472587444,-0.13862447579383794,0.6931223789691897,-0.32236044472587444,-0.13862447579383794,0.0
1.9000000000000001,0,0.5,0,10,2,0,0,0,0,0.6602040695394571,-0.33589596416101114,-0.13204081390789144,0.6602040695394571,-0.33589596416101114,-0.13204081390789144,0.0
2.0,0,0.5,0,10,2,0,0,0,0,0.6259655817781927,-0.3487598056855373,-0.12519311635563854,0.6259655817781927,-0.3487598056855373,-0.12519311635563854,0.0
2.1,0,0.5,0,10,2,0,0,0,0,0.5904753728917476,-0.3609262442106333,-0.11809507457834952,0.5904753728917476,-0.3609262442106333,-0.11809507457834952,0.0
2.2,0,0.5,0,10,2,0,0,0,0,0.5538044026778858,-0.37237094960493006,-0.11076088053557716,0.5538044026778858,-0.37237094960493006,-0.11076088053557716,0.0
2.3000000000000003,0,0.5,0,10,2,0,0,0,0,0.5160260115111693,-0.3830710376354843,-0.10320520230223387,0.5160260115111693,-0.3830710376354843,-0.10320520230223387,0.0
2.4000000000000004,0,0.5,0,10,2,0,0,0,0,0.4772157376582504,-0.39300511103320207,-0.09544314753165009,0.4772157376582504,-0.39300511103320207,-0.09544314753165009,0.0
2.5,0,0.5,0,10,2,0,0,0,0,0.43745119133888793,-0.40215330480409484,-0.08749023826777759,0.43745119133888793,-0.40215330480409484,-0.08749023826777759,0.0
2.6,0,0.5,0,10,2,0,0,0,0,0.39681188844922943,-0.4104973259554649,-0.07936237768984589,0.39681188844922943,-0.4104973259554649,-0.07936237768984589,0.0
2.7,0,0.5,0,10,2,0,0,0,0,0.3553790925854682,-0.41802048950187615,-0.07107581851709364,0.3553790925854682,-0.41802048950187615,-0.07107581851709364,0.0
2.8000000000000003,0,0.5,0,10,2,0,0,0,0,0.3132356577187663,-0.42470775110959574,-0.06264713154375327,0.3132356577187663,-0.42470775110959574,-0.06264713154375327,0.0
2.9000000000000004,0,0.5,0,10,2,0,0,0,0,0.27046585530073286,-0.4305457390812562,-0.05409317106014658,0.27046585530073286,-0.4305457390812562,-0.05409317106014658,0.0
3.0,0,0.5,0,10,2,0,0,0,0,0.22715521221027668,-0.43552277902578224,-0.04543104244205534,0.22715521221027668,-0.43552277902578224,-0.04543104244205534,0.0
3.1,0,0.5,0,10,2,0,0,0,0,0.18339033451292575,-0.4396289185916282,-0.03667806690258515,0.18339033451292575,-0.4396289185916282,-0.03667806690258515,0.0
3.2,0,0.5,0,10,2,0,0,0,0,0.139258736437993,-0.4428559470425565,-0.0278517472875986,0.139258736437993,-0.4428559470425565,-0.0278517472875986,0.0
3.3000000000000003,0,0.5,0,10,2,0,0,0,0,0.09484866837861952,-0.4451974110839606,-0.018969733675723906,0.09484866837861952,-0.4451974110839606,-0.018969733675723906,0.0
3.4000000000000004,0,0.5,0,10,2,0,0,0,0,0.050248933572967,-0.4466486288816215,-0.010049786714593402,0.050248933572967,-0.4466486288816215,-0.010049786714593402,0.0
