Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0.268,0.381183391,0.264803363,0.964302431,0.382787899,0.5,0.5,0.1,0.1
0.27,0.384563282,0.266731437,0.963770896,0.385980674,0.5,0.5,0.1,0.1
0.272,0.387919505,0.268658444,0.963235506,0.389167035,0.5,0.5,0.1,0.1
0.274,0.391246144,0.270584376,0.962696263,0.392352494,0.5,0.5,0.1,0.1
0.276,0.394538423,0.272509226,0.96215317,0.395541433,0.5,0.5,0.1,0.1
0.278,0.397793018,0.274432986,0.961606227,0.398736796,0.5,0.5,0.1,0.1
0.28,0.401008249,0.276355649,0.961055438,0.401939891,0.5,0.5,0.1,0.1
0.282,0.404184162,0.278277205,0.960500805,0.405150314,0.5,0.5,0.1,0.1
0.284,0.407322481,0.280197649,0.95994233,0.408365995,0.5,0.5,0.1,0.1
0.286,0.410426437,0.282116972,0.959380015,0.411583364,0.5,0.5,0.1,0.1
0.288,0.413500499,0.284035167,0.958813863,0.414797629,0.5,0.5,0.1,0.1
0.29,0.41655002,0.285952225,0.958243876,0.418003122,0.5,0.5,0.1,0.1
0.292,0.419580821,0.28786814,0.957670055,0.421193719,0.5,0.5,0.1,0.1
0.294,0.422598756,0.289782903,0.957092404,0.424363272,0.5,0.5,0.1,0.1
0.296,0.425609281,0.291696507,0.956510924,0.427506044,0.5,0.5,0.1,0.1
0.298,0.428617058,0.293608944,0.955925618,0.430617101,0.5,0.5,0.1,0.1
0.3,0.431625625,0.295520207,0.955336489,0.433692641,0.5,0.5,0.1,0.1
0.302,0.434637155,0.297430287,0.954743538,0.436730241,0.5,0.5,0.1,0.1
0.304,0.437652315,0.299339178,0.954146769,0.439728992,0.5,0.5,0.1,0.1
0.306,0.440670236,0.301246872,0.953546183,0.442689529,0.5,0.5,0.1,0.1
0.308,0.443688599,0.30315336,0.952941782,0.445613951,0.5,0.5,0.1,0.1
0.31,0.446703817,0.305058636,0.95233357,0.44850563,0.5,0.5,0.1,0.1
0.312,0.449711308,0.306962692,0.951721548,0.451368945,0.5,0.5,0.1,0.1
0.314,0.452705839,0.30886552,0.95110572,0.454208935,0.5,0.5,0.1,0.1
0.316,0.455681904,0.310767113,0.950486087,0.457030922,0.5,0.5,0.1,0.1
0.318,0.458634116,0.312667462,0.949862652,0.459840113,0.5,0.5,0.1,0.1
